TMAX_C,TMIN_C,PRCP_mm,WIND_m_s,date,Bee_Activity
19.0,4.8,0.1,5.88,2020-05-01,Moderate
21.9,13.1,0.0,5.49,2020-05-02,Optimal
21.3,8.4,0.0,6.13,2020-05-03,Optimal
13.9,3.9,0.0,4.84,2020-05-04,Poor
10.6,4.8,4.0,3.47,2020-05-05,Poor
16.2,5.1,0.0,4.36,2020-05-06,Moderate
15.9,6.0,0.0,4.3,2020-05-07,Moderate
8.6,1.7,0.0,6.44,2020-05-08,Poor
16.0,-0.8,0.9,5.46,2020-05-09,Moderate
9.0,4.2,6.3,6.75,2020-05-10,Poor
10.7,1.4,0.0,4.65,2020-05-11,Poor
14.3,0.3,0.0,2.82,2020-05-12,Moderate
17.6,3.8,5.6,6.61,2020-05-13,Poor
21.6,10.9,3.3,4.52,2020-05-14,Moderate
21.0,11.8,0.0,4.58,2020-05-15,Optimal
22.3,9.0,0.0,5.66,2020-05-16,Optimal
14.7,11.1,20.3,7.8,2020-05-17,Poor
13.4,10.2,2.3,6.65,2020-05-18,Poor
20.2,9.8,0.0,4.96,2020-05-19,Optimal
22.9,10.6,0.0,6.09,2020-05-20,Optimal
22.1,10.7,0.0,4.36,2020-05-21,Optimal
21.9,13.4,0.0,3.64,2020-05-22,Optimal
22.2,14.6,22.9,6.26,2020-05-23,Moderate
28.3,11.9,0.0,4.95,2020-05-24,Optimal
28.5,18.1,1.0,5.28,2020-05-25,Moderate
29.1,19.3,1.5,5.51,2020-05-26,Moderate
26.9,20.3,6.0,4.5,2020-05-27,Moderate
21.2,15.4,35.3,4.32,2020-05-28,Moderate
17.7,12.4,0.0,5.64,2020-05-29,Moderate
19.3,10.5,0.0,5.46,2020-05-30,Moderate
22.1,7.4,0.0,3.61,2020-05-31,Optimal
26.7,15.0,2.6,8.13,2020-06-01,Moderate
31.9,20.9,20.6,4.82,2020-06-02,Poor
29.3,18.8,0.8,2.81,2020-06-03,Optimal
30.3,15.8,0.0,3.04,2020-06-04,Moderate
28.1,19.7,1.0,4.84,2020-06-05,Moderate
25.7,16.0,0.0,4.4,2020-06-06,Optimal
27.8,14.4,0.0,5.25,2020-06-07,Optimal
31.3,19.0,0.0,4.71,2020-06-08,Moderate
27.0,19.1,25.8,5.92,2020-06-09,Moderate
23.0,16.9,6.9,7.14,2020-06-10,Moderate
25.0,13.5,0.0,7.4,2020-06-11,Optimal
26.7,13.5,0.3,4.87,2020-06-12,Moderate
20.1,10.1,0.0,4.21,2020-06-13,Optimal
22.6,9.4,0.0,5.33,2020-06-14,Optimal
25.4,11.9,0.0,4.96,2020-06-15,Optimal
27.7,14.8,0.0,4.2,2020-06-16,Optimal
28.8,16.5,0.0,5.33,2020-06-17,Optimal
30.3,16.6,0.0,4.22,2020-06-18,Moderate
24.8,20.1,9.1,3.79,2020-06-19,Moderate
24.3,18.5,38.9,3.8,2020-06-20,Moderate
28.0,14.3,0.3,3.42,2020-06-21,Optimal
21.3,16.5,22.3,3.7,2020-06-22,Moderate
22.1,14.2,0.3,5.04,2020-06-23,Moderate
23.6,13.9,4.1,5.55,2020-06-24,Moderate
27.8,13.7,0.0,3.22,2020-06-25,Optimal
25.3,18.7,24.4,4.02,2020-06-26,Moderate
29.1,18.0,0.0,2.89,2020-06-27,Optimal
30.5,18.3,0.3,5.08,2020-06-28,Moderate
29.9,21.4,13.9,4.96,2020-06-29,Moderate
31.1,21.1,0.0,6.09,2020-06-30,Moderate
30.1,21.8,0.2,3.96,2020-07-01,Moderate
30.9,20.2,0.0,3.03,2020-07-02,Moderate
31.1,20.0,0.7,2.35,2020-07-03,Moderate
31.0,21.4,0.5,2.45,2020-07-04,Moderate
31.7,21.3,0.0,2.72,2020-07-05,Moderate
31.3,22.8,1.2,2.92,2020-07-06,Poor
